bin_low,bin_high,bin_center,lo_val,lo_err,lo_scale_env_low,lo_scale_env_high,nlo_val,nlo_err,nlo_scale_env_low,nlo_scale_env_high,kfactor,kfactor_joint_scale_env_low,kfactor_joint_scale_env_high
0.0,10.0,5.0,52.0364999999961,0.5203649999999416,40.727363612,67.78364550799992,62.110581830007334,1.0006173832233793,56.54182230249985,66.19251772699988,nan,nan,nan
10.0,20.0,15.0,0.0,0.0,0.0,0.0,-1.0464845300002252,0.28932987227089746,-1.5059769999999388,-0.7516146999999137,nan,nan,nan
20.0,30.0,25.0,0.0,0.0,0.0,0.0,-0.36799456000007924,0.22942088795814186,-0.526739000000066,-0.26586000000004334,nan,nan,nan
30.0,40.0,35.0,0.0,0.0,0.0,0.0,0.19549711000004208,0.17478228398975665,0.14397659999998497,0.2732419999999706,nan,nan,nan
40.0,50.0,45.0,0.0,0.0,0.0,0.0,0.16099762000003465,0.14546262201893664,0.11768010000001823,0.2264019999999732,nan,nan,nan
50.0,60.0,55.0,0.0,0.0,0.0,0.0,0.41399388000008913,0.1290852715984338,0.29801190000003996,0.5943240000000515,nan,nan,nan
60.0,70.0,65.0,0.0,0.0,0.0,0.0,0.35649473000007675,0.12438968017235723,0.253808999999967,0.517274000000009,nan,nan,nan
70.0,80.0,75.0,0.0,0.0,0.0,0.0,0.5519918400001188,0.1041353896731069,0.39960840000001097,0.7881140000000073,nan,nan,nan
80.0,90.0,85.0,0.0,0.0,0.0,0.0,0.41399388000008913,0.09199864000000006,0.29827389999998105,0.5943730000000074,nan,nan,nan
90.0,100.0,95.0,0.0,0.0,0.0,0.0,0.459993200000099,0.09199864000000006,0.33259259999999813,0.6569159999999556,nan,nan,nan
100.0,110.0,105.0,0.0,0.0,0.0,0.0,0.4944926900001064,0.08212521288540998,0.35313350000001265,0.7155000000000087,nan,nan,nan
110.0,120.0,115.0,0.0,0.0,0.0,0.0,0.4944926900001064,0.07714320482907427,0.35232759999997826,0.715922999999998,nan,nan,nan
120.0,130.0,125.0,0.0,0.0,0.0,0.0,0.4944926900001064,0.08049881000000006,0.3543342999999822,0.7122429999999668,nan,nan,nan
130.0,140.0,135.0,0.0,0.0,0.0,0.0,0.43699354000009405,0.07088971308376277,0.3135735999999724,0.6284820000000082,nan,nan,nan
140.0,150.0,145.0,0.0,0.0,0.0,0.0,0.36799456000007924,0.06705495552889888,0.26377850000004627,0.5295439999999985,nan,nan,nan
150.0,160.0,155.0,0.0,0.0,0.0,0.0,0.35649473000007675,0.06606149385953639,0.25303840000000266,0.5185680000000161,nan,nan,nan
160.0,170.0,165.0,0.0,0.0,0.0,0.0,0.43699354000009405,0.07088971308376277,0.31224120000005084,0.6297289999999407,nan,nan,nan
170.0,180.0,175.0,0.0,0.0,0.0,0.0,0.35649473000007675,0.06402834365260361,0.25519580000003544,0.5130760000000236,nan,nan,nan
180.0,190.0,185.0,0.0,0.0,0.0,0.0,0.3219952400000693,0.06085138059903987,0.22855019999999512,0.4675730000000044,nan,nan,nan
190.0,200.0,195.0,0.0,0.0,0.0,0.0,0.2529962600000545,0.05393898386729031,0.18211130000001957,0.36135299999999687,nan,nan,nan
200.0,210.0,205.0,0.0,0.0,0.0,0.0,0.31049541000006686,0.05975486951521445,0.22249460000000454,0.4456839999999943,nan,nan,nan
210.0,220.0,215.0,0.0,0.0,0.0,0.0,0.20699694000004457,0.048789646652955,0.1496091999999976,0.29400900000000546,nan,nan,nan
220.0,230.0,225.0,0.0,0.0,0.0,0.0,0.08049881000001732,0.030425690299519935,0.058049700000003666,0.11464500000000725,nan,nan,nan
230.0,240.0,235.0,0.0,0.0,0.0,0.0,0.1494977900000322,0.041463226724119076,0.10727729999999838,0.21391100000000735,nan,nan,nan
240.0,250.0,245.0,0.0,0.0,0.0,0.0,0.1379979600000297,0.03983657967680963,0.09725709999997889,0.20154499999998735,nan,nan,nan
250.0,260.0,255.0,0.0,0.0,0.0,0.0,0.10349847000002228,0.03449949000000003,0.07359210000000757,0.14953800000000683,nan,nan,nan
260.0,270.0,265.0,0.0,0.0,0.0,0.0,0.18399728000003962,0.04599932000000003,0.12995120000000498,0.26773099999999206,nan,nan,nan
270.0,280.0,275.0,0.0,0.0,0.0,0.0,0.034499490000007425,0.019918289838404817,0.02411299999999983,0.05075500000000375,nan,nan,nan
280.0,290.0,285.0,0.0,0.0,0.0,0.0,0.10349847000002228,0.03449949000000003,0.0732471999999916,0.15014899999999898,nan,nan,nan
290.0,300.0,295.0,0.0,0.0,0.0,0.0,0.05749915000001238,0.025714401609691427,0.04082559999999376,0.08322700000001078,nan,nan,nan
300.0,310.0,305.0,0.0,0.0,0.0,0.0,0.06899898000001485,0.028168715628750295,0.04882509999998774,0.10006700000000138,nan,nan,nan
310.0,320.0,315.0,0.0,0.0,0.0,0.0,0.022999660000004953,0.016263215550985,0.01654160000000502,0.03274700000000621,nan,nan,nan
320.0,330.0,325.0,0.0,0.0,0.0,0.0,0.011499830000002476,0.011499830000000008,0.008488099999999577,0.01590800000000172,nan,nan,nan
330.0,340.0,335.0,0.0,0.0,0.0,0.0,0.05749915000001238,0.025714401609691427,0.04085360000000264,0.08316200000000436,nan,nan,nan
340.0,350.0,345.0,0.0,0.0,0.0,0.0,0.08049881000001732,0.030425690299519935,0.055827800000008664,0.11951199999998607,nan,nan,nan
350.0,360.0,355.0,0.0,0.0,0.0,0.0,0.045999320000009905,0.022999660000000016,0.03266590000000633,0.0665520000000015,nan,nan,nan
360.0,370.0,365.0,0.0,0.0,0.0,0.0,0.022999660000004953,0.016263215550985,0.015409599999998136,0.03549800000000687,nan,nan,nan
370.0,380.0,375.0,0.0,0.0,0.0,0.0,0.011499830000002476,0.011499830000000008,0.008511999999996078,0.015864999999996597,nan,nan,nan
380.0,390.0,385.0,0.0,0.0,0.0,0.0,0.034499490000007425,0.019918289838404817,0.024538700000005065,0.04975099999999202,nan,nan,nan
390.0,400.0,395.0,0.0,0.0,0.0,0.0,0.05749915000001238,0.025714401609691427,0.04132399999999734,0.08197999999999865,nan,nan,nan
