bin_low,bin_high,bin_center,lo_val,lo_err,lo_scale_env_low,lo_scale_env_high,nlo_val,nlo_err,nlo_scale_env_low,nlo_scale_env_high,kfactor,kfactor_joint_scale_env_low,kfactor_joint_scale_env_high
0.0,20.0,10.0,0.001330133013301426,8.155568772027873e-05,0.0012990185287697954,0.0013545501806423597,0.0009782788923891955,0.0001295017356310008,0.0009390351818610078,0.0010234848455171995,0.7354744845863805,0.6932450309191905,0.7868475595045757
20.0,40.0,30.0,0.0039003900390041798,0.00013965636607430774,0.00382475253417656,0.00395528782850737,0.0040291825567894575,0.00022552595769745828,0.003940722082791203,0.0040980614016657806,1.0330204201367923,1.0284640335849955,1.038094326093076
40.0,60.0,50.0,0.005285528552855663,0.00016257393946404768,0.005213087303494869,0.005333029493692616,0.005720444370750205,0.0002729576792099524,0.005702049152346765,0.0057528259436983725,1.082284262310827,1.0697198049396532,1.0945942760456504
60.0,80.0,70.0,0.006640664066408442,0.00018222689427231672,0.006559967163822003,0.006693694948681235,0.0065660752777306685,0.00029637809536921234,0.006522461269024191,0.00660039718077461,0.9887678720182401,0.9848150324475368,0.9943689552276037
80.0,100.0,90.0,0.006510651065108754,0.0001804342289495666,0.0064582043271295,0.006541850288584416,0.006333941303266719,0.00029684154849885387,0.006234158584639595,0.006511014530713479,0.9728583577779125,0.9546537342681507,1.0032056932392805
100.0,120.0,110.0,0.00591559155915523,0.00017199103432261585,0.005889826071552196,0.005928460344824079,0.005645829878959205,0.00027508970358207493,0.0055811354831234805,0.005687657267530383,0.9543981903587426,0.9454427908747124,0.9597674277384539
120.0,140.0,130.0,0.0049654965496539645,0.00015757527009288306,0.004957365631120507,0.004974031426550803,0.004709003482010026,0.00026006279458391844,0.00457030211955555,0.00479465550958445,0.9483449308484944,0.9212300864315619,0.9650040830609146
140.0,160.0,150.0,0.003975397539753174,0.00014099282108081282,0.00395229134131065,0.004007548594144908,0.0038882440722934866,0.00023841492032078548,0.003771394843088436,0.003952750447913428,0.9780767919212682,0.9446600484369232,0.9984018180232671
160.0,180.0,170.0,0.0029052905290523194,0.00012053176110803994,0.00288486732100652,0.002934177252476644,0.003042613165312817,0.00020459231767951404,0.002950044427444429,0.003174151825267055,1.0472664041297415,1.01894436699134,1.0892714453924088
180.0,200.0,190.0,0.0022802280228018204,0.00010678146066637056,0.002249169392576853,0.0023256560163852683,0.0023130492455647844,0.0001752808366097105,0.002299334663839346,0.0023250963712725843,1.0143938336143397,0.9938489228779452,1.0337577858503322
200.0,220.0,210.0,0.0015201520152012136,8.718669754056004e-05,0.0014986646146702015,0.0015542865875536967,0.001857071795722264,0.0001524189712389976,0.0017850436090359927,0.0019543214074304784,1.2216355845678066,1.178176824526285,1.2876916800827367
220.0,240.0,230.0,0.001220122012200974,7.811030778983882e-05,0.0011970788620649993,0.001255545069042856,0.0012767368595590566,0.00013673041371636992,0.0012542082856324007,0.0013037532198926735,1.0464009720273428,0.9989352963558096,1.089112222434249
240.0,260.0,250.0,0.0007800780078006228,6.245622560653927e-05,0.0007628424098148755,0.0008069792735954229,0.0008622119051567655,0.00011783013101931755,0.0008380265285889992,0.0008865596642601064,1.1052893384184919,1.0384734230598613,1.1621793084042802
260.0,280.0,270.0,0.0007200720072005749,6.000600060005485e-05,0.0007051270100426543,0.0007440642932823954,0.0007627259161002156,0.00010153746239358588,0.0007428711561176092,0.0007856989274679232,1.0592356159843879,1.003282489526586,1.1142658220118318
280.0,300.0,290.0,0.0004900490049003912,4.950242492554663e-05,0.0004751155705332809,0.0005127978590687722,0.0005637539379871159,8.695148799287166e-05,0.0005382317427244402,0.0005749055051025507,1.1504031889661854,1.073746077021064,1.1970492628863834
300.0,320.0,310.0,0.00046504650465037123,4.822307611257188e-05,0.0004495091743892438,0.0004884109843408624,0.00039794395622619945,8.122996991486826e-05,0.0003289201922038285,0.00043769207654837153,0.855707874904639,0.690212103509185,0.9637821243762063
320.0,340.0,330.0,0.00028502850285022754,3.775294747109761e-05,0.00027744317721087005,0.0002977128332930498,0.000323329464433787,6.259189550049567e-05,0.00031156110891535565,0.00033793694320867013,1.1343758999558204,1.0540921587733643,1.2171885239293125
340.0,360.0,350.0,0.0001700170017001412,2.9157675241748172e-05,0.00016531992328720294,0.00017766485026774503,0.00013264798540873316,4.540893363497731e-05,0.00011771953024676596,0.00014014991929394937,0.7802042388836162,0.681073685427947,0.8399632957814799
360.0,380.0,370.0,0.00015501550155012374,2.7841605974745195e-05,0.00014963995167363293,0.00016330987282257227,6.632399270436658e-05,5.2433720115536e-05,5.176388205061658e-05,8.440567886216891e-05,0.4278539374523195,0.3459228733481177,0.5168436996694702
380.0,400.0,390.0,7.00070007000559e-05,1.8710157949663066e-05,6.781267409661438e-05,7.346349113235786e-05,8.290499088045822e-05,3.7076239056532994e-05,7.396258960636992e-05,9.440510592624648e-05,1.1842385768769554,1.0906897654705905,1.292025220827051
400.0,420.0,410.0,5.500550055004391e-05,1.6584782430018575e-05,5.336138437803742e-05,5.755380393565701e-05,0.0001160669872326415,3.316199635217617e-05,0.00010421158912288904,0.00013249879964784316,2.110097827889848,1.9023002196057912,2.4244748489745005
420.0,440.0,430.0,6.0006000600047906e-05,1.7322240299717256e-05,5.81657169813308e-05,6.109353714013437e-05,6.632399270436658e-05,3.102020715282262e-05,6.465893801608675e-05,6.829909095251088e-05,1.1052893384184919,1.0583597061629315,1.1610909557318403
440.0,460.0,450.0,5.0005000500039924e-05,1.5812969597800317e-05,4.727330234819337e-05,5.416496623935747e-05,4.145249544022911e-05,2.989181956113024e-05,3.369886453419701e-05,5.08353960405885e-05,0.8289670038138688,0.7128519240307498,0.9511116558858717
460.0,480.0,470.0,8.000800080006387e-05,2.000200020001828e-05,7.718921568660384e-05,8.443850975644744e-05,4.145249544022911e-05,2.4871497264132133e-05,2.988116416950078e-05,5.684188459337583e-05,0.5181043773836681,0.3871157894753249,0.6731748909037985
480.0,500.0,490.0,4.500450045003593e-05,1.5001500150013713e-05,4.1753317581178855e-05,4.965836276134379e-05,4.145249544022911e-05,2.1934598831572322e-05,3.836804119457262e-05,4.417644067855641e-05,0.9210744486820766,0.7741967464895292,1.058034265005802
500.0,520.0,510.0,4.0004000400031935e-05,1.4143549978727607e-05,3.866248177775504e-05,4.157964164300869e-05,8.290499088045823e-06,1.8538119528266497e-05,-2.277869585796638e-06,1.5505187479283906e-05,0.20724175095346725,-0.05667484938518081,0.38965785397353964
520.0,540.0,530.0,2.0002000200015967e-05,1.000100010000914e-05,1.833957901632836e-05,2.2271251693260242e-05,2.4871497264137466e-05,1.4359565640595725e-05,1.9831449816520746e-05,3.2619014168909766e-05,1.2434505057208034,1.0618786721723796,1.5162876435535375
540.0,560.0,550.0,5.000500050003992e-06,5.00050005000457e-06,4.7340552192144226e-06,5.369132277448904e-06,4.974299452827493e-05,2.3449072498307324e-05,4.85049044343785e-05,5.123848876902176e-05,9.947604045766427,9.543160071550199,10.245952399859732
560.0,580.0,570.0,2.5002500250019962e-05,1.1181458033301317e-05,2.4008766759693367e-05,2.6545999596250002e-05,8.290499088045823e-06,8.290499088044042e-06,6.376269283287616e-06,1.129082077131608e-05,0.3315868015255476,0.2604888992740553,0.4409438420513897
580.0,600.0,590.0,5.000500050003992e-06,5.00050005000457e-06,4.647381425974552e-06,5.479535809643088e-06,1.6580998176091645e-05,1.1724536249153662e-05,1.4827277931353935e-05,1.8942624922120642e-05,3.315868015255476,2.721497860845564,3.92993834048494
600.0,620.0,610.0,5.000500050003992e-06,5.00050005000457e-06,4.699974376110763e-06,5.411926235679818e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
620.0,640.0,630.0,5.000500050003992e-06,5.00050005000457e-06,4.768210976615098e-06,5.211856224863519e-06,8.290499088045823e-06,8.290499088044042e-06,6.426492711849323e-06,1.1166193704314463e-05,1.657934007627738,1.233052569867775,2.3417994210149704
640.0,660.0,650.0,0.0,0.0,0.0,0.0,1.6580998176091645e-05,1.1724536249153662e-05,1.5167309802888825e-05,1.7378521364560084e-05,nan,nan,nan
660.0,680.0,670.0,1.0001000100007984e-05,7.071774989363804e-06,9.618945641415484e-06,1.0449742482577786e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
680.0,700.0,690.0,0.0,0.0,0.0,0.0,8.290499088045823e-06,8.290499088044042e-06,6.445448005852258e-06,1.1147923767792917e-05,nan,nan,nan
700.0,720.0,710.0,5.000500050003992e-06,5.00050005000457e-06,4.667617696789986e-06,5.4531313008497765e-06,8.290499088045823e-06,8.290499088044042e-06,7.23914018815723e-06,9.784203505886437e-06,1.657934007627738,1.4243237265687747,2.007234174716972
720.0,740.0,730.0,5.000500050003992e-06,5.00050005000457e-06,4.636325817280129e-06,5.4938703315349065e-06,-8.290499088045823e-06,8.290499088044042e-06,-1.1497662552664647e-05,-6.269422989306299e-06,-1.657934007627738,-2.1785833260183174,-1.321641465865711
740.0,760.0,750.0,0.0,0.0,0.0,0.0,-8.290499088045823e-06,8.290499088044042e-06,-1.0783830032794995e-05,-6.562338985547758e-06,nan,nan,nan
760.0,780.0,770.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan
780.0,800.0,790.0,0.0,0.0,0.0,0.0,8.290499088045823e-06,8.290499088044042e-06,4.428146941242603e-06,1.3238386184612642e-05,nan,nan,nan
