bin_low,bin_high,bin_center,lo_val,lo_err,lo_scale_env_low,lo_scale_env_high,nlo_val,nlo_err,nlo_scale_env_low,nlo_scale_env_high,kfactor,kfactor_joint_scale_env_low,kfactor_joint_scale_env_high
-3.0,-2.85,-2.925,0.02616483848244125,0.004189727280801623,0.024597693109651677,0.028241311227640925,0.014422810229098935,0.005320720611651533,0.012254402389093543,0.016191085212038013,0.5512287124867147,0.4360032815827098,0.6569283266462074
-2.85,-2.7,-2.7750000000000004,0.03086109154339224,0.004550219706233129,0.02925729538647718,0.03294396819599855,0.022188938813998364,0.006076691157764424,0.020076028846558767,0.025725904744214823,0.7189939728087583,0.6861888148361784,0.7808987852088672
-2.7,-2.55,-2.625,0.046962530609509806,0.005613096015122865,0.04488995038113623,0.049524252542143155,0.02773617351749788,0.006748502280243445,0.025509895478358625,0.03094450735111575,0.5906021919500515,0.5659401238283708,0.627314133333419
-2.55,-2.4,-2.4749999999999996,0.06440575626447077,0.006573384972750651,0.06203064052621974,0.06724660583386409,0.054362900094295986,0.009348366087729836,0.05187536026841211,0.05858543312047897,0.8440689659952818,0.8264351821053847,0.8748627755122643
-2.4,-2.25,-2.325,0.0664184361477355,0.006675303995885399,0.06441762490314387,0.06881105821758134,0.0665668164419951,0.010641441223303068,0.059722110982154665,0.07828551450526647,1.0022340227031175,0.9271082420680796,1.1376879898827714
-2.25,-2.1,-2.175,0.0932541679245983,0.007909715288016183,0.09114452055162278,0.09585750284469867,0.07544239196759443,0.011635977679813815,0.07461386991251151,0.0763560004316199,0.8089975348725884,0.7938873280476438,0.8248666085542193
-2.1,-1.95,-2.025,0.10801382040187274,0.008512681587635771,0.10632938545891715,0.11006927138273455,0.11538248183279388,0.013405498389740967,0.10986330457204847,0.12424532126069793,1.0682196167444642,1.027190173197318,1.1331446225173636
-1.95,-1.8,-1.875,0.13283687229547095,0.009440305443944443,0.13165049929215009,0.1343422155515765,0.09985022466299572,0.013497004560486928,0.09796294635086297,0.10174357938622358,0.7516755170273615,0.7385577993602062,0.7608661374141957
-1.8,-1.6500000000000001,-1.725,0.15162188453927494,0.01008573773330253,0.15144832911679296,0.15191132413441333,0.14977533699449205,0.016567575884025274,0.14879846908685496,0.15114479592131227,0.9878213652970091,0.9815463545549302,0.9949541074869256
-1.6500000000000001,-1.5,-1.5750000000000002,0.19254637549899042,0.011365653179094107,0.1921646278819492,0.19291982356335466,0.14422810229098468,0.01675228143400406,0.12927043477574218,0.15297709575140922,0.7490564385707739,0.6700733620217619,0.7960731245782979
-1.5,-1.35,-1.425,0.19053369561572603,0.011306094761231783,0.1903510032111444,0.19080216574513034,0.20302879014807876,0.018925747056337507,0.19838224744490696,0.20550911218658505,1.065579447729567,1.0407850986328682,1.0791798237064871
-1.35,-1.2000000000000002,-1.2750000000000001,0.1979135218543633,0.011522970740544777,0.19739591137525972,0.19837897015393344,0.20968547179227806,0.019248185025678446,0.19477934255093887,0.22308008015117783,1.0594802711185003,0.9867445642308841,1.1245147607030999
-1.2000000000000002,-1.05,-1.125,0.21938210727585322,0.012131858253682544,0.21836040302509824,0.22022497136491814,0.2474066677760739,0.020903582050717646,0.24160324619936602,0.256547242354556,1.1277431457296667,1.1012849594776324,1.171125918652272
-1.05,-0.8999999999999999,-0.975,0.22474925363125914,0.012279363468333524,0.22300965432654343,0.22620853624619008,0.2895656515226693,0.020962382678969042,0.2864179444540255,0.29174784741684084,1.2883942742597618,1.274843146953626,1.3045131360250926
-0.8999999999999999,-0.75,-0.825,0.2448760524639401,0.01281739839290454,0.24306230431426798,0.24632650375349133,0.23187441060627573,0.021253945815349846,0.22378639092593391,0.2384052573087147,0.9469052129563427,0.9206955869084035,0.9679461796068344
